"batter","game_year","stand","xbabip","xbscon","n"
"A.J. Pierzynski",2015,"L",0.310541310541311,0.472934472934473,351
"A.J. Pollock",2015,"R",0.326530612244898,0.56530612244898,490
"A.J. Pollock",2017,"R",0.292834890965732,0.56386292834891,321
"A.J. Pollock",2018,"R",0.273615635179153,0.635179153094462,307
"A.J. Pollock",2019,"R",0.290909090909091,0.604545454545454,220
"Aaron Altherr",2017,"R",0.312252964426877,0.727272727272727,253
"Aaron Hicks",2018,"L",0.262295081967213,0.602459016393443,244
"Aaron Hill",2015,"R",0.246913580246914,0.419753086419753,243
"Aaron Hill",2016,"R",0.273026315789474,0.424342105263158,304
"Aaron Judge",2017,"R",0.309375,1.040625,320
"Aaron Judge",2018,"R",0.325301204819277,0.767068273092369,249
"Aaron Judge",2019,"R",0.312217194570136,0.832579185520362,221
"Adam Duvall",2016,"R",0.263888888888889,0.705555555555556,360
"Adam Duvall",2017,"R",0.275,0.6575,400
"Adam Duvall",2018,"R",0.228571428571429,0.497959183673469,245
"Adam Eaton",2015,"L",0.34,0.557777777777778,450
"Adam Eaton",2016,"L",0.317226890756303,0.531512605042017,476
"Adam Eaton",2018,"L",0.336244541484716,0.48471615720524,229
"Adam Eaton",2019,"L",0.297539149888143,0.51006711409396,447
"Adam Engel",2018,"R",0.316901408450704,0.471830985915493,284
"Adam Frazier",2017,"L",0.303030303030303,0.46969696969697,330
"Adam Frazier",2018,"L",0.293172690763052,0.538152610441767,249
"Adam Frazier",2019,"L",0.300884955752212,0.473451327433628,452
"Adam Jones",2015,"R",0.26378896882494,0.565947242206235,417
"Adam Jones",2016,"R",0.270212765957447,0.523404255319149,470
"Adam Jones",2017,"R",0.295652173913043,0.560869565217391,460
"Adam Jones",2018,"R",0.294759825327511,0.489082969432314,458
"Adam Jones",2019,"R",0.280112044817927,0.507002801120448,357
"Adam LaRoche",2015,"L",0.258181818181818,0.472727272727273,275
"Adam Lind",2015,"L",0.28804347826087,0.557065217391304,368
"Adam Lind",2016,"L",0.245283018867925,0.528301886792453,265
"Adam Lind",2017,"L",0.300492610837438,0.561576354679803,203
"Addison Russell",2015,"R",0.317567567567568,0.570945945945946,296
"Addison Russell",2016,"R",0.27683615819209,0.564971751412429,354
"Addison Russell",2017,"R",0.271551724137931,0.573275862068966,232
"Addison Russell",2018,"R",0.315789473684211,0.440789473684211,304
"Adeiny Hechavarria",2015,"R",0.318435754189944,0.441340782122905,358
"Adeiny Hechavarria",2016,"R",0.264705882352941,0.352941176470588,408
"Adeiny Hechavarria",2017,"R",0.302904564315353,0.514522821576763,241
"Adeiny Hechavarria",2018,"R",0.280172413793103,0.413793103448276,232
"Adonis Garcia",2016,"R",0.298543689320388,0.480582524271845,412
"Adrian Beltre",2015,"R",0.288135593220339,0.519067796610169,472
"Adrian Beltre",2016,"R",0.277207392197125,0.595482546201232,487
"Adrian Beltre",2017,"R",0.31021897810219,0.62043795620438,274
"Adrian Beltre",2018,"R",0.291925465838509,0.546583850931677,322
"Adrian Gonzalez",2015,"L",0.279904306220096,0.602870813397129,418
"Adrian Gonzalez",2016,"L",0.309692671394799,0.536643026004728,423
"Albert Almora",2017,"R",0.302752293577982,0.477064220183486,218
"Albert Almora",2018,"R",0.322674418604651,0.447674418604651,344
"Albert Almora",2019,"R",0.233962264150943,0.460377358490566,265
"Albert Pujols",2015,"R",0.193158953722334,0.537223340040241,497
"Albert Pujols",2016,"R",0.242171189979123,0.509394572025052,479
"Albert Pujols",2017,"R",0.24203821656051,0.456475583864119,471
"Albert Pujols",2018,"R",0.237726098191214,0.459948320413437,387
"Albert Pujols",2019,"R",0.222222222222222,0.475452196382429,387
"Alcides Escobar",2015,"R",0.276923076923077,0.353846153846154,520
"Alcides Escobar",2016,"R",0.2890625,0.3984375,512
"Alcides Escobar",2017,"R",0.289416846652268,0.436285097192225,463
"Alcides Escobar",2018,"R",0.25062656641604,0.360902255639098,399
"Aledmys Diaz",2016,"R",0.301829268292683,0.600609756097561,328
"Aledmys Diaz",2017,"R",0.281385281385281,0.471861471861472,231
"Aledmys Diaz",2018,"R",0.274626865671642,0.519402985074627,335
"Alejandro De Aza",2015,"L",0.308056872037915,0.549763033175355,211
"Alex Bregman",2017,"R",0.299287410926366,0.548693586698337,421
"Alex Bregman",2018,"R",0.279749478079332,0.64509394572025,479
"Alex Bregman",2019,"R",0.251685393258427,0.68314606741573,445
"Alex Gordon",2015,"L",0.309803921568627,0.568627450980392,255
"Alex Gordon",2016,"L",0.272727272727273,0.560606060606061,264
"Alex Gordon",2017,"L",0.246006389776358,0.424920127795527,313
"Alex Gordon",2018,"L",0.287262872628726,0.479674796747967,369
"Alex Gordon",2019,"L",0.293181818181818,0.484090909090909,440
"Alex Rios",2015,"R",0.291390728476821,0.423841059602649,302
"Alex Rodriguez",2015,"R",0.265129682997118,0.662824207492795,347
"Alex Verdugo",2019,"L",0.309608540925267,0.551601423487544,281
"Alexei Ramirez",2015,"R",0.250526315789474,0.395789473684211,475
"Alexei Ramirez",2016,"R",0.26530612244898,0.387755102040816,392
"Alexi Amarista",2015,"L",0.240157480314961,0.358267716535433,254
"Amed Rosario",2018,"R",0.300480769230769,0.485576923076923,416
"Amed Rosario",2019,"R",0.326881720430108,0.533333333333333,465
"Andre Ethier",2015,"L",0.306930693069307,0.577557755775578,303
"Andrelton Simmons",2015,"R",0.283549783549784,0.365800865800866,462
"Andrelton Simmons",2016,"R",0.296,0.397333333333333,375
"Andrelton Simmons",2017,"R",0.280082987551867,0.454356846473029,482
"Andrelton Simmons",2018,"R",0.288381742738589,0.452282157676349,482
"Andrelton Simmons",2019,"R",0.271604938271605,0.407407407407407,324
"Andrew Benintendi",2017,"L",0.294117647058824,0.538461538461538,442
"Andrew Benintendi",2018,"L",0.314977973568282,0.541850220264317,454
"Andrew Benintendi",2019,"L",0.328125,0.588541666666667,384
"Andrew McCutchen",2015,"R",0.323383084577114,0.624378109452736,402
"Andrew McCutchen",2016,"R",0.28538283062645,0.554524361948956,431
"Andrew McCutchen",2017,"R",0.289411764705882,0.607058823529412,425
"Andrew McCutchen",2018,"R",0.29064039408867,0.564039408866995,406
"Angel Pagan",2015,"L",0.279310344827586,0.389655172413793,290
"Angel Pagan",2016,"L",0.319066147859922,0.474708171206226,257
"Anthony Gose",2015,"L",0.344051446945338,0.498392282958199,311
"Anthony Rendon",2015,"R",0.311926605504587,0.440366972477064,218
"Anthony Rendon",2016,"R",0.301204819277108,0.563855421686747,415
"Anthony Rendon",2017,"R",0.303703703703704,0.614814814814815,405
"Anthony Rendon",2018,"R",0.29951690821256,0.635265700483092,414
"Anthony Rendon",2019,"R",0.302059496567506,0.716247139588101,437
"Anthony Rizzo",2015,"L",0.27313769751693,0.609480812641084,443
"Anthony Rizzo",2016,"L",0.278422273781903,0.663573085846868,431
"Anthony Rizzo",2017,"L",0.261261261261261,0.621621621621622,444
"Anthony Rizzo",2018,"L",0.279379157427938,0.545454545454545,451
"Anthony Rizzo",2019,"L",0.2825,0.595,400
"Aramis Ramirez",2015,"R",0.230971128608924,0.456692913385827,381
"Asdrubal Cabrera",2015,"L",0.291497975708502,0.558704453441296,247
"Asdrubal Cabrera",2016,"L",0.280821917808219,0.606164383561644,292
"Asdrubal Cabrera",2017,"L",0.247104247104247,0.49034749034749,259
"Asdrubal Cabrera",2018,"L",0.278169014084507,0.654929577464789,284
"Asdrubal Cabrera",2019,"L",0.284403669724771,0.559633027522936,218
"Austin Hedges",2017,"R",0.244979919678715,0.546184738955823,249
"Austin Hedges",2018,"R",0.263681592039801,0.626865671641791,201
"Austin Jackson",2015,"R",0.327586206896552,0.508620689655172,348
"Austin Jackson",2018,"R",0.371980676328502,0.507246376811594,207
"Austin Meadows",2019,"L",0.307065217391304,0.717391304347826,368
"Avisail Garcia",2015,"R",0.30952380952381,0.492063492063492,378
"Avisail Garcia",2016,"R",0.28673835125448,0.516129032258065,279
"Avisail Garcia",2017,"R",0.37984496124031,0.625322997416021,387
"Avisail Garcia",2018,"R",0.245901639344262,0.581967213114754,244
"Avisail Garcia",2019,"R",0.329479768786127,0.621387283236994,346
"Ben Gamel",2017,"L",0.330555555555556,0.541666666666667,360
"Ben Paulsen",2015,"L",0.339712918660287,0.655502392344498,209
"Ben Revere",2015,"L",0.331991951710262,0.414486921529175,497
"Ben Revere",2016,"L",0.212014134275618,0.303886925795053,283
"Ben Revere",2017,"L",0.291497975708502,0.368421052631579,247
"Ben Zobrist",2015,"L",0.257028112449799,0.477911646586345,249
"Ben Zobrist",2016,"L",0.267123287671233,0.503424657534247,292
"Ben Zobrist",2017,"L",0.263157894736842,0.45748987854251,247
"Ben Zobrist",2018,"L",0.307692307692308,0.523809523809524,273
"Billy Burns",2015,"L",0.324723247232472,0.453874538745387,271
"Billy Butler",2015,"R",0.264339152119701,0.473815461346633,401
"Billy Hamilton",2015,"L",0.241666666666667,0.291666666666667,240
"Billy Hamilton",2016,"L",0.349775784753363,0.457399103139013,223
"Billy Hamilton",2017,"L",0.323529411764706,0.450980392156863,306
"Billy Hamilton",2018,"L",0.296442687747036,0.41501976284585,253
"Brad Miller",2015,"L",0.292307692307692,0.516923076923077,325
"Brad Miller",2016,"L",0.24802110817942,0.659630606860158,379
"Brad Miller",2017,"L",0.24390243902439,0.507317073170732,205
"Brandon Belt",2015,"L",0.34472049689441,0.670807453416149,322
"Brandon Belt",2016,"L",0.329758713136729,0.654155495978552,373
"Brandon Belt",2017,"L",0.268774703557312,0.632411067193676,253
"Brandon Belt",2018,"L",0.290780141843972,0.556737588652482,282
"Brandon Belt",2019,"L",0.268929503916449,0.543080939947781,383
"Brandon Crawford",2015,"L",0.275482093663912,0.586776859504132,363
"Brandon Crawford",2016,"L",0.325242718446602,0.546116504854369,412
"Brandon Crawford",2017,"L",0.290666666666667,0.517333333333333,375
"Brandon Crawford",2018,"L",0.300518134715026,0.507772020725389,386
"Brandon Crawford",2019,"L",0.262162162162162,0.448648648648649,370
"Brandon Dixon",2019,"R",0.304878048780488,0.638211382113821,246
"Brandon Drury",2016,"R",0.310734463276836,0.570621468926554,354
"Brandon Drury",2017,"R",0.313479623824451,0.573667711598746,319
"Brandon Drury",2019,"R",0.251748251748252,0.503496503496504,286
"Brandon Guyer",2015,"R",0.281746031746032,0.484126984126984,252
"Brandon Guyer",2016,"R",0.285024154589372,0.531400966183575,207
"Brandon Moss",2015,"L",0.269480519480519,0.590909090909091,308
"Brandon Moss",2016,"L",0.244897959183673,0.726530612244898,245
"Brandon Moss",2017,"L",0.217391304347826,0.599033816425121,207
"Brandon Nimmo",2018,"L",0.340909090909091,0.723484848484849,264
"Brandon Phillips",2015,"R",0.317718940936864,0.427698574338086,491
"Brandon Phillips",2016,"R",0.305494505494506,0.47032967032967,455
"Brandon Phillips",2017,"R",0.308351177730193,0.494646680942184,467
"Brayan Pena",2015,"L",0.321782178217822,0.386138613861386,202
"Brett Gardner",2015,"L",0.298245614035088,0.523809523809524,399
"Brett Gardner",2016,"L",0.309178743961353,0.454106280193237,414
"Brett Gardner",2017,"L",0.289473684210526,0.539473684210526,456
"Brett Gardner",2018,"L",0.26302729528536,0.444168734491315,403
"Brett Gardner",2019,"L",0.253443526170799,0.639118457300275,363
"Brett Lawrie",2015,"R",0.318652849740933,0.55699481865285,386
"Brett Lawrie",2016,"R",0.316742081447964,0.570135746606335,221
"Brian Anderson",2018,"R",0.328671328671329,0.505827505827506,429
"Brian Anderson",2019,"R",0.281733746130031,0.594427244582043,323
"Brian Dozier",2015,"R",0.244444444444444,0.588888888888889,450
"Brian Dozier",2016,"R",0.262068965517241,0.740229885057471,435
"Brian Dozier",2017,"R",0.281179138321995,0.659863945578231,441
"Brian Dozier",2018,"R",0.232911392405063,0.49873417721519,395
"Brian Dozier",2019,"R",0.263888888888889,0.604166666666667,288
"Brian Goodwin",2019,"L",0.315384615384615,0.680769230769231,260
"Brian McCann",2015,"L",0.220289855072464,0.533333333333333,345
"Brian McCann",2016,"L",0.261168384879725,0.577319587628866,291
"Brian McCann",2017,"L",0.220149253731343,0.507462686567164,268
"Brian McCann",2019,"L",0.241545893719807,0.478260869565217,207
"Brock Holt",2015,"L",0.349544072948328,0.474164133738602,329
"Brock Holt",2016,"L",0.293838862559242,0.4739336492891,211
"Brock Holt",2018,"L",0.322115384615385,0.528846153846154,208
"Bryan Reynolds",2019,"L",0.402542372881356,0.682203389830508,236
"Bryce Harper",2015,"L",0.335243553008596,0.848137535816619,349
"Bryce Harper",2016,"L",0.260623229461756,0.577903682719547,353
"Bryce Harper",2017,"L",0.329824561403509,0.803508771929825,285
"Bryce Harper",2018,"L",0.268493150684932,0.704109589041096,365
"Bryce Harper",2019,"L",0.286885245901639,0.745901639344262,366
"Buster Posey",2015,"R",0.307692307692308,0.503118503118503,481
"Buster Posey",2016,"R",0.295302013422819,0.492170022371365,447
"Buster Posey",2017,"R",0.339759036144578,0.532530120481928,415
"Buster Posey",2018,"R",0.318318318318318,0.45045045045045,333
"Buster Posey",2019,"R",0.292452830188679,0.443396226415094,318
"Byron Buxton",2017,"R",0.300353356890459,0.551236749116608,283
"C.J. Cron",2015,"R",0.269662921348315,0.528089887640449,267
"C.J. Cron",2016,"R",0.296666666666667,0.573333333333333,300
"C.J. Cron",2017,"R",0.283720930232558,0.516279069767442,215
"C.J. Cron",2018,"R",0.281437125748503,0.664670658682635,334
"C.J. Cron",2019,"R",0.253822629969419,0.577981651376147,327
"Caleb Joseph",2015,"R",0.253164556962025,0.49789029535865,237
"Cameron Maybin",2015,"R",0.316622691292876,0.474934036939314,379
